sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
8181,Vinod Kumar Rai,GHOSI,CPI,3,Graduate,"Rs 82,36,962","Rs 40,000","Rs 2,36,962","Rs 2,56,962","Rs 80,00,000","Rs 71,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9372
8182,Vinod Kumar Rana,HAZARIBAGH,IND,0,Literate,"Rs 69,22,000 ~ 69 Lacs+",Rs 0 ~,"Rs 9,22,000","Rs 9,22,000","Rs 60,00,000","Rs 60,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7811
8183,Vinod Kumar Sharma,VAISHALI,Jantantra Awaj Party,3,Graduate Professional,"Rs 1,51,91,279 ~ 1 Crore+","Rs 1,55,000 ~ 1 Lacs+",Nil,"Rs 29,91,279","Rs 1,22,00,000","Rs 1,42,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8065
8184,Vinod Kumar Sharma,GARHWAL,Uttarakhand Samanta Party,0,Post Graduate,"Rs 8,70,15,946",Nil,Rs 0,"Rs 20,15,946","Rs 8,50,00,000","Rs 7,56,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=274
8185,Vinod Kumar Singh,GONDA,Bhartiya Uday Nirman Party,1,Graduate Professional,"Rs 1,75,66,847 ~ 1 Crore+",Rs 0 ~,"Rs 31,16,847","Rs 31,16,847","Rs 1,44,50,000","Rs 1,44,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7641
8186,Vinod Kumar Singh,KODARMA,CPI(ML)(L),3,Post Graduate,"Rs 55,98,476 ~ 55 Lacs+","Rs 2,67,240 ~ 2 Lacs+","Rs 45,58,476","Rs 45,58,476","Rs 10,40,000","Rs 10,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7143
8187,Vinod Kumar Sonkar,KAUSHAMBI (SC),BJP,2,Graduate,"Rs 14,55,98,217","Rs 9,89,12,457","Rs 4,99,24,823","Rs 4,99,24,823","Rs 9,56,73,394","Rs 9,56,73,394",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7186
8188,Vinod Nagwanshi,KANKER (ST),Hamar Raj Party,1,Post Graduate,"Rs 1,46,81,800 ~ 1 Crore+","Rs 40,44,466 ~ 40 Lacs+","Rs 53,81,800","Rs 53,81,800","Rs 93,00,000","Rs 93,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2164
8189,Vinod Panjabrao Nandagavali,YAVATMAL - WASHIM,IND,0,10th Pass,"Rs 3,000 ~ 3 Thou+",Rs 0 ~,"Rs 3,000","Rs 3,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3213
8190,Vinod Rao Tandra,KHAMMAM,BJP,0,Post Graduate,"Rs 16,25,58,851","Rs 3,42,492","Rs 9,95,22,980","Rs 9,95,22,980","Rs 6,30,35,871","Rs 6,30,35,871",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5231
8191,Vinod Sah,SITAMARHI,IND,0,Literate,"Rs 42,84,000 ~ 42 Lacs+",Rs 0 ~,"Rs 7,84,000","Rs 7,84,000","Rs 35,00,000","Rs 35,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7404
8192,Vinod Sultanpuri,SHIMLA (SC),INC,0,Graduate Professional,"Rs 9,22,83,379 ~ 9 Crore+","Rs 73,87,679 ~ 73 Lacs+","Rs 82,83,379","Rs 82,83,377","Rs 8,40,00,000","Rs 8,40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8767
8193,Vinodbhai Babubhai Satrotiya,SURENDRANAGAR,IND,0,8th Pass,"Rs 55,000",Nil,"Rs 55,000","Rs 55,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4730
8194,Vinoj,CHENNAI CENTRAL,BJP,14,Graduate Professional,"Rs 31,95,89,737 ~ 31 Crore+","Rs 15,50,55,585 ~ 15 Crore+","Rs 16,94,68,737","Rs 16,94,68,737","Rs 15,01,21,000","Rs 15,01,21,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=90
8195,Vinoth Kumar. N,KARUR,IND,0,Post Graduate,"Rs 37,62,224 ~ 37 Lacs+",Rs 0 ~,"Rs 20,62,224","Rs 20,62,224","Rs 17,00,000","Rs 17,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1255
8196,Vipan Kumar Batra,LUDHIANA,IND,0,8th Pass,"Rs 67,10,000","Rs 4,00,000","Rs 9,10,000","Rs 9,10,000",Rs 0,"Rs 58,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9201
8197,Vipin Kumar,AKBARPUR,Rashtriya Sanskriti Party,0,12th Pass,"Rs 22,45,558 ~ 22 Lacs+",Rs 0 ~,"Rs 12,45,558","Rs 12,45,558","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5697
8198,Vipin Singh Patel,REWA,Rashtriya Hind Ekta Dal,0,10th Pass,"Rs 15,50,000 ~ 15 Lacs+","Rs 1,50,000 ~ 1 Lacs+","Rs 15,50,000","Rs 21,50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3190
8199,Vipinlal Vidhyadharan,KOLLAM,BSP,0,Post Graduate,"Rs 41,70,337","Rs 17,25,000","Rs 25,22,337","Rs 25,22,337","Rs 16,48,000","Rs 16,48,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2290
8200,Virender,SOUTH DELHI,IND,0,Graduate,"Rs 14,000 ~ 14 Thou+",Rs 0 ~,"Rs 14,000","Rs 14,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8328
8201,Virendra,GHOSI,Rashtriya Jantantrik Bharat Vikas Party,0,12th Pass,"Rs 7,15,000 ~ 7 Lacs+",Rs 0 ~,Nil,"Rs 5,15,000","Rs 2,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9363
