sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
1,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312 ~ 13 Lacs+",Rs 0 ~,"Rs 5,58,311.78","Rs 5,58,311.36","Rs 8,00,000","Rs 8,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7366
2,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782 ~ 25 Lacs+","Rs 18,00,000 ~ 18 Lacs+","Rs 4,87,782","Rs 4,87,782","Rs 21,00,000","Rs 21,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2858
3,Advocate Balwinder Kumar,JALANDHAR (SC),BSP,1,Post Graduate,"Rs 49,72,497",Nil,"Rs 12,72,497","Rs 12,72,495","Rs 37,00,000","Rs 37,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8894
4,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912 ~ 56 Crore+","Rs 22,46,68,569 ~ 22 Crore+","Rs 19,80,40,378","Rs 19,76,33,866","Rs 37,01,14,534","Rs 37,01,14,533",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3436
5,Bhagyaraj. J,VILUPPURAM (SC),AIADMK,0,12th Pass,"Rs 4,79,83,303 ~ 4 Crore+","Rs 1,43,64,469 ~ 1 Crore+","Rs 1,08,84,802.97","Rs 1,10,33,234.97","Rs 3,70,98,500","Rs 3,70,98,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=220
6,Boominathan C,MADURAI,IND,0,5th Pass,"Rs 9,37,466","Rs 42,000","Rs 4,97,466","Rs 4,97,466","Rs 4,40,000","Rs 4,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1565
7,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118 ~ 51 Lacs+",Rs 0 ~,"Rs 33,56,118","Rs 33,56,117","Rs 18,20,000","Rs 18,20,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6
8,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946 ~ 32 Thou+",Rs 0 ~,"Rs 32,946","Rs 32,946",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1288
9,L. Khaja Hussain,KADAPA,IND,0,Graduate,"Rs 92,46,142",Nil,"Rs 50,59,617","Rs 50,59,616","Rs 41,86,525","Rs 41,86,525",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6163
10,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,"Rs 32,21,200 ~ 32 Lacs+","Rs 17,00,000 ~ 17 Lacs+","Rs 32,21,200","Rs 32,61,200",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1034
11,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000 ~ 84 Lacs+","Rs 20,00,000 ~ 20 Lacs+","Rs 40,58,000","Rs 40,58,158","Rs 43,50,000","Rs 43,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=114
12,"Sathiyamoorthy, S.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,"Rs 2,39,71,104",Nil,"Rs 62,71,104","Rs 62,71,104",Rs 0,"Rs 1,77,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1147
13,Senthilmallar K,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059 ~ 12 Lacs+",Rs 0 ~,"Rs 2,24,059","Rs 2,24,059","Rs 10,50,000","Rs 10,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1631
14,Shoban Babu V,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,"Rs 50,000","Rs 50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2065
15,A . Raj,BANGALORE SOUTH,IND,0,Graduate,"Rs 34,54,000","Rs 20,55,000","Rs 9,54,000","Rs 9,54,000","Rs 25,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2628
16,A Annadurai,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 6,84,000 ~ 6 Lacs+",Rs 0 ~,"Rs 4,84,000","Rs 4,84,000","Rs 2,00,000","Rs 2,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1131
17,A Asuvathaman,TIRUVANNAMALAI,BJP,2,Graduate Professional,"Rs 60,23,719 ~ 60 Lacs+","Rs 29,98,008 ~ 29 Lacs+","Rs 60,23,719","Rs 60,23,719",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1138
18,A Beemarao Milinthar,VELLORE,United Republican Party of India,0,10th Pass,"Rs 20,000",Nil,"Rs 20,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=804
19,A Chinna Moulali,NANDYAL,BSP,0,Graduate Professional,"Rs 85,08,000 ~ 85 Lacs+","Rs 13,00,000 ~ 13 Lacs+","Rs 61,08,000","Rs 61,08,000","Rs 24,00,000","Rs 34,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5548
20,A Jayachandran,ARAKKONAM,IND,0,10th Pass,"Rs 16,94,200 ~ 16 Lacs+",Rs 0 ~,"Rs 94,200","Rs 94,200","Rs 16,00,000","Rs 16,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=535
21,A Jinna Mohammed,SRIPERUMBUDUR,IND,0,8th Pass,"Rs 45,000","Rs 49,800","Rs 45,000","Rs 45,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1317
22,A Muthaiah,TENKASI (SC),IND,0,5th Pass,"Rs 66,289 ~ 66 Thou+",Rs 0 ~,"Rs 26,288.50","Rs 26,288.50","Rs 40,000","Rs 40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1438
23,A Nakkeeran,TIRUVANNAMALAI,IND,0,Literate,"Rs 4,01,000 ~ 4 Lacs+",Rs 0 ~,"Rs 4,01,000","Rs 4,01,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1136
24,A Namassivayam,PUDUCHERRY,BJP,0,Others,"Rs 31,55,42,293","Rs 15,93,72,429","Rs 7,46,86,212","Rs 6,58,23,539","Rs 24,08,56,081","Rs 24,08,56,083",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=65
25,A Natarajan,VELLORE,Bharatiya Praja Aikyata Party,0,8th Pass,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,55,000","Rs 1,55,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=805
26,A Palani,ARAKKONAM,IND,0,10th Pass,"Rs 2,75,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,75,000","Rs 75,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=540
27,A Seetha,TENKASI (SC),Bahujan Dravida Party,0,12th Pass,"Rs 63,25,000",Nil,"Rs 16,75,000","Rs 16,75,000","Rs 46,50,000","Rs 46,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1445
28,A T Munusamy,ERODE,Samaniya Makkal Nala Katchi,0,5th Pass,"Rs 84,73,646 ~ 84 Lacs+","Rs 20,00,000 ~ 20 Lacs+","Rs 5,73,646","Rs 5,73,646","Rs 79,00,000","Rs 79,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1400
29,A Vasudevan,PERAMBALUR,IND,0,Post Graduate,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,00,000","Rs 1,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1191
30,A Velusamy,TIRUPPUR,IND,0,10th Pass,"Rs 1,05,300","Rs 70,000","Rs 1,05,300","Rs 1,05,300",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1471
31,A Vijayaraghavan,PALAKKAD,CPI(M),1,Graduate Professional,"Rs 1,11,51,017 ~ 1 Crore+",Rs 0 ~,"Rs 31,51,017","Rs 31,51,017","Rs 80,00,000","Rs 80,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2106
32,A. Ajithkumar,CHENNAI NORTH,Thakkam Katchi,0,Post Graduate,"Rs 61,21,581 ~ 61 Lacs+","Rs 20,46,216 ~ 20 Lacs+","Rs 58,71,581","Rs 58,96,581","Rs 2,50,000","Rs 2,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1082
33,A. Balaji,CUDDALORE,IND,0,Others,"Rs 43,79,622",Nil,"Rs 43,79,622","Rs 43,79,621",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=116
34,A. Devadas,BELLARY (ST),SUCI(C),0,8th Pass,"Rs 17,46,568 ~ 17 Lacs+",Rs 0 ~,"Rs 17,46,568","Rs 17,46,568",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3387
35,A. G. Ramachandra Rao,MYSORE,Secular Democratic Congress,0,Graduate,"Rs 11,23,000 ~ 11 Lacs+",Rs 0 ~,"Rs 11,23,000","Rs 11,23,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2654
36,A. Gopala Krishna,EAST DELHI,Navarang Congress Party,2,12th Pass,"Rs 3,93,000",Nil,"Rs 3,93,000","Rs 3,93,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8206
37,A. K. Singh (Ashok),MUNGER,IND,0,Graduate Professional,"Rs 2,20,62,267 ~ 2 Crore+",Rs 0 ~,"Rs 1,80,62,267.34","Rs 1,89,90,695.04","Rs 40,00,000","Rs 40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6269
38,A. Kadir Mastan Sayyed (Goregaonkar),HINGOLI,IND,0,8th Pass,"Rs 7,40,000 ~ 7 Lacs+",Rs 0 ~,"Rs 2,40,000","Rs 2,40,000","Rs 5,00,000","Rs 5,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3310
39,A. Kranthi Kumar,MEDAK,IND,0,10th Pass,"Rs 4,70,560",Nil,"Rs 4,70,560","Rs 4,70,560",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5801
40,A. M Ariff,ALAPPUZHA,CPI(M),3,Graduate Professional,"Rs 1,32,16,302 ~ 1 Crore+","Rs 60,95,458 ~ 60 Lacs+","Rs 59,16,302","Rs 59,16,300","Rs 73,00,000","Rs 73,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3078
41,A. Madhu,THIRUPATHI (SC),Jai Hindustan Party,0,10th Pass,"Rs 54,300 ~ 54 Thou+",Rs 0 ~,"Rs 54,300","Rs 54,300",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6769
42,A. Purna Chandra,CHITTOOR (SC),IND,0,10th Pass,"Rs 2,00,000",Nil,"Rs 2,00,000","Rs 2,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6084
43,A. S. Sathish,MYSORE,IND,0,Graduate,"Rs 5,34,000 ~ 5 Lacs+",Rs 0 ~,"Rs 5,34,000","Rs 5,34,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1901
44,A. Srinivasulu,MAHBUBNAGAR,IND,0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,"Rs 20,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7035
45,A. Varaprasad,THIRUPATHI (SC),Jatiya Jana Sena Party,0,12th Pass,"Rs 2,53,427","Rs 1,23,000","Rs 2,53,427","Rs 2,53,427",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6758
46,A.D. Shivappa,SHIMOGA,BSP,0,Graduate,"Rs 2,17,56,000 ~ 2 Crore+","Rs 12,74,783 ~ 12 Lacs+","Rs 21,21,000","Rs 21,21,000","Rs 1,96,35,000","Rs 1,50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3889
47,A.Durairaj,TIRUCHIRAPPALLI,IND,0,5th Pass,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,20,000","Rs 1,20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1498
48,A.H. Siddiqui,RAJNANDGAON,IND,0,Post Graduate,"Rs 12,30,891",Nil,"Rs 2,30,891","Rs 2,30,891","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2882
49,A.K. Ganesh,DAVANAGERE,IND,0,Literate,"Rs 19,15,000 ~ 19 Lacs+","Rs 17,50,000 ~ 17 Lacs+","Rs 19,15,000","Rs 19,15,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3802
50,A.Kaliyaperumal,TIRUVANNAMALAI,IND,0,5th Pass,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,25,000","Rs 1,25,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1125
51,A.Selva Kumar,CHENNAI CENTRAL,Thakkam Katchi,0,10th Pass,"Rs 12,26,000",Nil,"Rs 2,26,000","Rs 2,26,000","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1053
52,A.T. Dadakhalandar,DAVANAGERE,Country Citizen Party,0,10th Pass,"Rs 50,500 ~ 50 Thou+","Rs 1,48,000 ~ 1 Lacs+","Rs 50,500","Rs 50,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3910
53,Aabdusa Sattar Sekh,BAHARAMPUR,Indian National Socialistic Action Forces,0,10th Pass,"Rs 75,19,370 ~ 75 Lacs+","Rs 8,00,000 ~ 8 Lacs+","Rs 26,19,370","Rs 26,19,370","Rs 49,00,000","Rs 49,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6194
54,Aacharyadip Subhashchandra Ganoje,AKOLA,IND,0,Graduate,"Rs 49,38,002","Rs 6,33,654","Rs 49,38,002","Rs 49,38,001",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2370
55,Aakash Kumar Singh,MAHARAJGANJ,INC,0,12th Pass,"Rs 6,59,33,186 ~ 6 Crore+",Rs 0 ~,"Rs 1,07,83,186","Rs 1,07,83,185","Rs 5,51,50,000","Rs 5,51,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8180
56,Aanand Misra,BUXAR,IND,0,12th Pass,"Rs 56,66,811 ~ 56 Lacs+","Rs 1,70,000 ~ 1 Lacs+","Rs 33,14,811","Rs 33,14,806","Rs 23,52,000","Rs 23,52,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9549
57,Aarab Hasam Sumra,JUNAGADH,IND,0,5th Pass,"Rs 2,49,591",Nil,"Rs 2,49,591","Rs 2,49,591",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5033
58,Aarif Usman Mansuri,NASHIK,IND,0,Graduate,"Rs 47,41,576 ~ 47 Lacs+",Rs 0 ~,"Rs 15,22,976","Rs 15,22,976","Rs 32,18,600","Rs 32,18,600",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7427
59,Aarnakonda Raju,PEDDAPALLE (SC),IND,0,Post Graduate,"Rs 51,000 ~ 51 Thou+","Rs 2,50,000 ~ 2 Lacs+","Rs 51,000","Rs 51,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5941
60,Aarti Kishorkumar Haldar,AHMEDNAGAR,Prabuddha Republican Party,0,5th Pass,"Rs 8,81,953",Nil,"Rs 8,81,953","Rs 8,81,953",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6570
61,Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 8,05,85,824 ~ 8 Crore+","Rs 88,67,236 ~ 88 Lacs+","Rs 1,65,90,049","Rs 1,65,90,049","Rs 6,39,95,775","Rs 6,39,95,775",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2408
62,Aasiriyar Shanmuga Sundaram K,THOOTHUKKUDI,IND,0,Post Graduate,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,00,000","Rs 2,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1741
63,Aathimuthukumar M,THENI,IND,2,5th Pass,"Rs 52,92,229",Nil,"Rs 37,92,229","Rs 37,92,229","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=190
64,Aatish Mohan Bansode,SOLAPUR (SC),IND,2,Post Graduate,"Rs 11,83,000 ~ 11 Lacs+","Rs 50,000 ~ 50 Thou+","Rs 1,83,000","Rs 1,83,000","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4981
65,Aayare Rajendra Lahu,RATNAGIRI - SINDHUDURG,BSP,0,Post Graduate,"Rs 26,05,500 ~ 26 Lacs+",Rs 0 ~,"Rs 1,05,500","Rs 1,05,500","Rs 25,00,000","Rs 25,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4621
66,Abbadi Buchi Reddy,KARIMNAGAR,IND,0,10th Pass,"Rs 93,94,000","Rs 3,00,000","Rs 23,86,000","Rs 23,86,000","Rs 70,08,000","Rs 70,08,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5608
67,Abbagoni Ashok Goud,NIZAMABAD,Bahujana Left Party,0,Post Graduate,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,80,000","Rs 1,80,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5590
68,Abbavaram Ugendra,RAJAMPET,BSP,0,10th Pass,"Rs 72,500 ~ 72 Thou+",Rs 0 ~,"Rs 72,500","Rs 85,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6640
69,Abdhesh Kumar Roy,BEGUSARAI,CPI,4,12th Pass,"Rs 45,54,459",Nil,"Rs 26,54,459","Rs 26,54,459","Rs 19,00,000","Rs 19,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5059
70,Abdul Asif,KOTA,IND,0,10th Pass,"Rs 1,19,713 ~ 1 Lacs+",Rs 0 ~,"Rs 1,19,713","Rs 1,19,713",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2919
71,Abdul Azim Abdul Aziz Shaikh,AURANGABAD,IND,0,10th Pass,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,00,000","Rs 1,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6958
72,Abdul Bari,BIJNOR,Jai Samta Party,1,Doctorate,"Rs 50,63,000","Rs 20,00,000","Rs 15,63,000","Rs 15,58,000","Rs 35,00,000","Rs 35,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=864
73,Abdul Basit,SOUTH DELHI,BSP,0,Graduate,"Rs 1,81,68,589 ~ 1 Crore+",Rs 0 ~,"Rs 96,68,589","Rs 96,68,588","Rs 85,00,000","Rs 80,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8310
74,Abdul Basit Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 13,35,000 ~ 13 Lacs+",Rs 0 ~,"Rs 1,35,000","Rs 1,00,000",Nil,"Rs 12,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3046
75,Abdul Goffar Talukdar,KARIMGANJ,IND,0,12th Pass,"Rs 7,70,600","Rs 11,00,000","Rs 7,70,600","Rs 7,70,600",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2759
76,Abdul Hafeez Abdul Haque,DHULE,IND,0,12th Pass,"Rs 3,01,000 ~ 3 Lacs+",Rs 0 ~,"Rs 3,01,000","Rs 3,01,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7675
77,Abdul Hamed,DARRANG-UDALGURI,Rashtriya Ulama Council,0,12th Pass,"Rs 2,58,00,000 ~ 2 Crore+","Rs 4,45,000 ~ 4 Lacs+","Rs 8,00,000","Rs 6,01,000","Rs 2,50,00,000","Rs 2,50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2751
78,Abdul Hameed,KARIMGANJ,IND,0,12th Pass,"Rs 44,32,000","Rs 25,000","Rs 5,77,000","Rs 5,77,000","Rs 38,55,000","Rs 37,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2758
79,Abdul Hoque,KAZIRANGA,IND,0,12th Pass,"Rs 2,01,30,389 ~ 2 Crore+","Rs 50,54,285 ~ 50 Lacs+","Rs 2,01,30,389","Rs 2,01,30,389",Nil,Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=730
80,Abdul Imran,BIRBHUM,IND,0,12th Pass,"Rs 46,000 ~ 46 Thou+",Rs 0 ~,"Rs 46,000","Rs 46,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6206
81,Abdul Jabbar,VIDISHA,IND,0,5th Pass,"Rs 1,77,000",Nil,"Rs 1,77,000","Rs 1,77,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3724
82,Abdul Kalam Mazumder,KARIMGANJ,IND,3,8th Pass,"Rs 60,47,515 ~ 60 Lacs+",Rs 0 ~,"Rs 7,47,515","Rs 7,47,515","Rs 53,00,000","Rs 53,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3043
83,Abdul Kareem K. S/O Assain,KOZHIKODE,IND,0,5th Pass,"Rs 21,11,700 ~ 21 Lacs+",Rs 0 ~,"Rs 11,700","Rs 11,700",Rs 0,"Rs 21,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3365
84,Abdul Kareem S/O Ayammath Kutty,KOZHIKODE,IND,0,10th Pass,"Rs 32,52,400","Rs 4,00,000","Rs 10,52,400","Rs 10,52,400","Rs 22,00,000","Rs 22,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3142
85,Abdul Kareem S/O Mahammood,KOZHIKODE,IND,0,12th Pass,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,"Rs 10,000","Rs 10,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3140
86,Abdul Mabood,SULTANPUR,Apna Desh Party,0,10th Pass,"Rs 1,56,52,700 ~ 1 Crore+",Rs 0 ~,"Rs 6,52,700","Rs 6,62,700","Rs 1,50,00,000","Rs 1,50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8071
87,Abdul Matin,SUPAUL,IND,0,Post Graduate,"Rs 79,70,757",Nil,"Rs 53,70,757","Rs 53,70,757","Rs 26,00,000","Rs 26,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4576
88,Abdul Nazeer Ahammed,DAVANAGERE,IND,0,5th Pass,"Rs 17,28,000 ~ 17 Lacs+","Rs 80,000 ~ 80 Thou+",Rs 0,"Rs 2,28,000",Rs 0,"Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3979
89,Abdul Rafiq Abdul Latif,JALNA,IND,0,Literate,"Rs 1,06,000 ~ 1 Lacs+",Rs 0 ~,"Rs 56,000","Rs 56,000","Rs 50,000","Rs 50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6907
90,Abdul Rais Ahemad,NANDED,Desh Janhit Party,0,5th Pass,"Rs 80,000",Nil,"Rs 80,000","Rs 80,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3276
91,Abdul Rajak Shaik,NARSARAOPET,IND,0,Graduate Professional,"Rs 1,19,64,145 ~ 1 Crore+","Rs 8,00,000 ~ 8 Lacs+","Rs 19,55,145","Rs 19,55,145","Rs 1,00,09,000","Rs 1,00,09,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6719
92,Abdul Raouf Malik,ANANTNAG-RAJOURI,IND,0,10th Pass,"Rs 3,23,27,353 ~ 3 Crore+","Rs 9,00,000 ~ 9 Lacs+","Rs 47,27,353","Rs 1,14,77,352","Rs 2,76,00,000","Rs 2,76,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5263
93,Abdul Rashid,VIDISHA,IND,0,5th Pass,"Rs 10,11,500",Nil,"Rs 11,500","Rs 11,500","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4189
94,Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,"Rs 1,56,37,424 ~ 1 Crore+","Rs 14,42,558 ~ 14 Lacs+","Rs 1,37,424","Rs 1,37,424","Rs 1,55,00,000","Rs 1,55,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7591
95,Abdul Rouf Naik,ANANTNAG-RAJOURI,IND,0,Post Graduate,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,00,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5264
96,Abdul Samad,SITAMARHI,IND,0,Literate,"Rs 25,51,000",Nil,"Rs 51,000","Rs 51,000","Rs 25,00,000","Rs 25,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7403
97,Abdul Samad Bagwan,AURANGABAD,All India Majlis-E-Inquilab-E-Millat,0,Graduate,"Rs 22,82,613 ~ 22 Lacs+","Rs 5,37,000 ~ 5 Lacs+","Rs 15,32,613","Rs 15,32,613","Rs 7,50,000","Rs 7,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6946
98,Abdul Sattar A.S.R,KURNOOL,Anna YSR Congress Party,1,Post Graduate,"Rs 60,60,000 ~ 60 Lacs+","Rs 12,00,000 ~ 12 Lacs+","Rs 60,000","Rs 60,000","Rs 60,00,000","Rs 60,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6794
99,Abdul Shakur Deshpande,JALGAON,IND,0,Graduate,"Rs 40,70,673","Rs 78,758","Rs 3,50,673","Rs 3,50,673","Rs 37,20,000","Rs 37,20,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6881
100,Abdul Tahir Advocate (Bablu Rajnikant) S/O Saeed Pahelwan Ansari,BHOPAL,Bahujan Maha Party,0,Graduate Professional,"Rs 57,31,072 ~ 57 Lacs+",Rs 0 ~,Rs 0,"Rs 7,31,072","Rs 50,00,000","Rs 50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4704
101,Abdul Tahir Advocate Bablu Rajnikant,MUMBAI NORTH - CENTRAL,IND,0,Graduate Professional,"Rs 58,03,440 ~ 58 Lacs+",Rs 0 ~,"Rs 3,64,440","Rs 3,64,440","Rs 54,39,000","Rs 54,39,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7692
102,Abdulaziz Kaladagi Pendari,BAGALKOT,IND,0,8th Pass,"Rs 11,70,000","Rs 1,50,000","Rs 1,70,000","Rs 1,70,000","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4371
